Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
female	1551	FEMALE	adjective	19
sway	573	SWAY	verb	19
darkness	11	DARKNESS	noun	19
car	1111	CAR	noun	19
choose	1750	CHOOSE	verb	19
weak	1601	WEAK	adjective	19
strong	785	STRONG	adjective	19
butt	834	BUTTOCKS	noun	19
stone	857	STONE	noun	19
wall	933	WALL (OF HOUSE)	noun	19
sweep	230	SWEEP	verb	19
court	1068	COURT	noun	19
lift	501	LIFT	verb	19
approach	1778	APPROACH	verb	19
shake	1909	SHAKE	verb	19
cure	499	CURE	verb	19
play	1413	PLAY	verb	19
wait	1590	WAIT (FOR)	verb	19
try	1812	TRY	verb	19
desk	1775	TABLE	noun	19
pen	794	PEN	noun	19
hear	1408	HEAR	verb	19
air	27	AIR	noun	19
fly	1441	FLY (MOVE THROUGH AIR)	verb	19
weight	2466	WEIGHT	noun	19
strike	353	STRIKE	verb	19
tumble	2894	TUMBLE (FALL DOWN)	verb	19
wrench	1361	TOOL	noun	19
shoulder	1482	SHOULDER	noun	19
floor	1632	FLOOR	noun	19
saw	1948	SAW	noun	19
tall	711	TALL	adjective	19
razor	151	RAZOR	noun	19
empty	1624	EMPTY	adjective	19
pocket	1851	POCKET	noun	19
weapon	951	WEAPONS	noun	19
foot	1301	FOOT	noun	19
attack	722	ATTACK	noun	19
rise	568	RISE (MOVE UPWARDS)	verb	19
lock	1596	LOCK	noun	19
dull	379	BLUNT	adjective	19
move	765	MOVE	verb	19
inside	1606	INSIDE	other	19
big	1202	BIG	adjective	19
brush	1821	BRUSH	noun	19
arm	1673	ARM	noun	19
short	1645	SHORT	adjective	19
stop	2880	HALT (STOP)	verb	19
swollen	1573	SWELL	verb	19
nose	1221	NOSE	noun	19
blood	946	BLOOD	noun	19
dance	1879	DANCE	verb	19
forward	2912	FORWARD	other	19
beside	1816	BESIDE	other	19
slab	2952	SLAB	noun	19
door	1567	DOOR	noun	19
kick	1135	KICK	verb	19
silver	759	SILVER	noun	19
downward	1326	DOWN	other	19
forearm	446	LOWER ARM	noun	19
slide	1324	SLIP	verb	19
belly	1251	BELLY	noun	19
duck	1360	DUCK	noun	19
fell	355	CUT DOWN	verb	19
land	626	LAND	noun	19
wood	1803	WOOD	noun	19
breath	870	BREATH	noun	19
rib	801	RIB	noun	19
crouch	296	CROUCH	verb	19
ready	790	READY	adjective	19
hit	1433	HIT	verb	19
backward	2911	BACKWARD	other	19
arch	876	ARCH	noun	19
solid	3003	SOLID	adjective	19
roll	827	ROLL	verb	19
dead	1625	DEAD	adjective	19
soon	703	SOON	other	19
cold	1287	COLD	adjective	19
ten	1515	TEN	numeral	19
hire	3213	HIRE OR RENT	verb	19
till	1882	BEFORE	other	19
climb	1102	CLIMB	verb	19
rag	332	RAG	noun	19
wipe	1454	WIPE	verb	19
touch	1892	TOUCH	verb	19
hour	1353	HOUR	noun	19
snow	784	SNOW	noun	19
sky	1732	SKY	noun	19
hair	1040	HAIR	noun	19
key	1472	KEY	noun	19
five	493	FIVE	numeral	19
swing	2871	SWING (MOVEMENT)	verb	19
drive	741	DRIVE	verb	19
search	1468	LOOK FOR	verb	19
ground	2159	GROUND	noun	19
fork	1302	FORK	noun	19
road	667	ROAD	noun	19
half	816	HALF	noun	19
edge	863	EDGE	noun	19
pit	2539	PIT (POTHOLE)	noun	19
bag	2468	BAG	noun	19
watch	1650	WATCH	verb	19
dry	1398	DRY	adjective	19
dust	2	DUST	noun	19
soft	1856	SOFT	adjective	19
twice	1546	TWICE	other	19
ache	1815	ACHE	verb	19
drag	2030	DRAG	verb	19
die	1494	DIE	verb	19
wind	960	WIND	noun	19
kneel	66	KNEEL	verb	19
corpse	767	CORPSE	noun	19
hang	2884	HANG	verb	19
drop	750	DROP	verb	19
push	1452	PUSH	verb	19
hole	1667	HOLE	noun	19
beam	1132	BEAM	noun	19
enough	1881	ENOUGH	other	19
enter	749	ENTER	verb	19
winter	1471	WINTER	noun	19
spring	1537	SPRINGTIME	noun	19
clean	704	CLEAN	adjective	19
oil	1484	OIL (ORGANIC SUBSTANCE)	noun	19
nail	1896	FINGERNAIL OR TOENAIL	noun	19
wheel	710	WHEEL	noun	19
judge	861	JUDGE	noun	19
read	724	READ	verb	19
seek	1468	LOOK FOR	verb	19
voice	1363	VOICE	noun	19
bite	1403	BITE	verb	19
convey	2898	CONVEY (A MESSAGE)	verb	19
miss	161	MISS (A TARGET)	verb	19
wither	2907	ROT	verb	19
stick	1295	STICK	noun	19
glad	1495	HAPPY	adjective	19
rub	1449	RUB	verb	19
guilt	134	FAULT	noun	19
crime	1066	CRIME	noun	19
punishment	390	PUNISHMENT	noun	19
steal	713	STEAL	verb	19
sin	2971	SIN	noun	19
convict	983	CONVICT	verb	19
stretch	214	STRETCH	verb	19
ankle	803	ANKLE	noun	19
pull	1455	PULL	verb	19
guilty	1682	GUILTY	adjective	19
flee	956	FLEE	verb	19
table	1775	TABLE	noun	19
soldier	1941	SOLDIER	noun	19
pair	1888	PAIR	noun	19
forge	288	FORGE	verb	19
mend	2243	REPAIR	verb	19
translate	2906	TRANSLATE	verb	19
violence	2976	VIOLENCE	noun	19
shout	715	SHOUT	verb	19
blow	175	BLOW (OF WIND)	verb	19
hammer	1481	HAMMER	noun	19
secret	1121	SECRET	adjective	19
mouth	674	MOUTH	noun	19
alive	1422	BE ALIVE	verb	19
scar	497	SCAR	noun	19
wrist	799	WRIST	noun	19
dinner	1833	DINNER (SUPPER)	noun	19
guest	1782	GUEST	noun	19
acquit	988	ACQUIT	verb	19
murder	845	MURDER	noun	19
conceal	602	HIDE (CONCEAL)	verb	19
scratch	1436	SCRATCH	verb	19
fingernail	1258	FINGERNAIL	noun	19
knit	2905	KNIT	verb	19
house	1252	HOUSE	noun	19
river	666	RIVER	noun	19
flat	1633	FLAT	adjective	19
cloak	326	CLOAK	noun	19
drown	1904	DROWN	verb	19
tale	2937	FAIRY TALE	noun	19
wealth	2996	WEALTH	noun	19
evil	45	EVIL	adjective	19
brother	1262	BROTHER	noun	19
living	1422	BE ALIVE	verb	19
slip	1324	SLIP	verb	19
coldness	1287	COLD	adjective	19
kiss	578	KISS	verb	19
immediately	1963	IMMEDIATELY	other	19
village	930	VILLAGE	noun	19
fat	323	FAT (ORGANIC SUBSTANCE)	noun	19
match	1133	MATCH	noun	19
elbow	981	ELBOW	noun	19
shop	746	SHOP	noun	19
spoon	1378	SPOON	noun	19
student	753	PUPIL (STUDENT)	noun	19
fast	1631	FAST	adjective	19
space	3006	SPACE (AVAILABLE)	noun	19
country	1300	COUNTRY	noun	19
hill	614	HILL	noun	19
grease	323	FAT (ORGANIC SUBSTANCE)	noun	19
smith	1001	BLACKSMITH	noun	19
mount	705	GO UP (ASCEND)	verb	19
west	1817	WEST	noun	19
president	899	PRESIDENT	noun	19
wear	976	WEAR	verb	19
clothes	1895	CLOTHES	noun	19
queen	1306	QUEEN	noun	19
pretty	2410	GOOD-LOOKING	adjective	19
canoe	1970	CANOE	noun	19
tree	906	TREE	noun	19
press	1913	PRESS	verb	19
soup	1547	SOUP	noun	19
unite	1743	JOIN	verb	19
horse	615	HORSE	noun	19
oak	644	OAK	noun	19
north	1598	NORTH	noun	19
mountain	639	MOUNTAIN	noun	19
host	1545	HOST	noun	19
sleep	1585	SLEEP	verb	19
chain	1627	CHAIN	noun	19
several	1241	SOME	other	19
shelter	1678	HUT	noun	19
log	1803	WOOD	noun	19
blanket	806	BLANKET	noun	19
hunt	1435	HUNT	verb	19
fish	227	FISH	noun	19
bait	2013	BAIT	noun	19
chop	2149	CHOP (INTO PIECES)	verb	19
morning	1339	MORNING	noun	19
game	2467	GAME	noun	19
deer	1936	DEER	noun	19
ax	677	AXE	noun	19
sharp	1396	SHARP	adjective	19
zero	1294	ZERO	numeral	19
cause	860	CAUSE	noun	19
cast	211	CAST	verb	19
liberate	37	LIBERATE	verb	19
king	1508	KING	noun	19
chief	301	CHIEFTAIN	noun	19
uncle	1327	UNCLE	noun	19
thunder	1150	THUNDER	noun	19
found	719	FIND	verb	19
plain	652	PLAIN	noun	19
forest	420	FOREST	noun	19
good	1035	GOOD	adjective	19
hut	1678	HUT	noun	19
branch	1531	BRANCH	noun	19
near-by	1942	NEAR	adjective	11
tongue	1205	TONGUE	noun	19
ox	1169	OX	noun	19
green	1425	GREEN	adjective	19
beneath	1485	BELOW OR UNDER	other	19
pine	1740	PINE	noun	19
carve	228	CARVE	verb	19
increase	1041	INCREASE	verb	19
slow	701	SLOW	adjective	19
send	1127	SEND	verb	19
six	1703	SIX	numeral	19
study	1929	STUDY	verb	19
season	691	SEASON	noun	19
brain	1583	BRAIN	noun	19
preach	304	PREACH	verb	19
intention	1162	INTENTION	noun	19
sole	2666	SOLE (FOOT)	noun	19
belt	772	BELT	noun	19
middle	1093	MIDDLE	other	19
teach	709	TEACH	verb	19
suspect	1841	SUSPECT	verb	19
message	2961	MESSAGE	noun	19
flock	2939	FLOCK (OF ANIMALS)	noun	19
crowd	2023	CROWD	noun	19
wise	698	WISE	adjective	19
dear	2470	DEAR	adjective	19
ill	1847	SICK	adjective	19
certainly	509	CERTAIN	adjective	19
yes	1268	YES	other	19
price	657	PRICE	noun	19
faithful	100	FAITHFUL	adjective	19
count	1420	COUNT	verb	19
length	2537	LENGTH	noun	19
round	1395	ROUND	adjective	19
bus	1070	BUS	noun	19
star	1430	STAR	noun	19
window	1375	WINDOW	noun	19
dirty	1230	DIRTY	adjective	19
listen	1608	LISTEN	verb	19
fetid	42	STINKING	adjective	19
anger	82	ANGER	noun	19
quiet	1314	QUIET	adjective	19
sweetness	717	SWEET	adjective	19
stay	987	REMAIN	verb	19
damage	2947	DAMAGE (INJURY)	noun	19
field	212	FIELD	noun	19
gold	1369	GOLD	noun	19
coast	1525	COAST	noun	19
finish	1766	FINISH	verb	19
drink	1401	DRINK	verb	19
kill	1417	KILL	verb	19
promise	1675	PROMISE	verb	19
sickness	1986	DISEASE	noun	19
seven	1704	SEVEN	numeral	19
baby	1289	BABY	noun	19
mother	1216	MOTHER	noun	19
aunt	1272	AUNT	noun	19
quickly	1631	FAST	adjective	19
sorry	1875	REGRET	verb	19
bright	679	BRIGHT	adjective	19
cousin	1643	COUSIN	noun	19
orphan	1149	ORPHAN	noun	19
dad	1217	FATHER	noun	19
daughter	1357	DAUGHTER	noun	19
week	1469	WEEK	noun	19
piece	594	PIECE	noun	19
dream	2374	DREAM	noun	19
burn	2102	BURN	verb	19
notice	2893	NOTICE (SOMETHING)	verb	19
stupid	1518	STUPID	adjective	19
news	2964	NEWS	noun	19
pick	2148	PICK	verb	19
ring	1374	RING	noun	19
lunch	768	LUNCH	noun	19
smile	1451	SMILE	verb	19
sorrow	1668	GRIEF	noun	19
bow	994	BOW	noun	19
ship	740	SHIP	noun	19
elderly	2112	OLD (AGED)	other	19
dark	706	DARK	adjective	19
gay	1495	HAPPY	adjective	19
poor	1674	POOR	adjective	19
powerful	3001	POWERFUL	adjective	19
similar	1558	SIMILAR	adjective	19
deny	755	DENY	verb	19
sell	1571	SELL	verb	19
word	1599	WORD	noun	19
wide	1243	WIDE	adjective	19
debt	1914	DEBT	noun	19
sharpen	251	SHARPEN (SOMETHING)	verb	19
separate	1359	SEPARATE	verb	19
distance	2978	DISTANCE	noun	19
soil	1228	EARTH (SOIL)	noun	19
sea	1474	SEA	noun	19
meal	1526	MEAL	noun	19
prevent	1550	PREVENT	verb	19
market	633	MARKET	noun	19
boot	585	BOOT	noun	19
blue	837	BLUE	adjective	19
loom	1787	LOOM	noun	19
collar	2012	COLLAR	noun	19
calculate	2867	CALCULATE	verb	19
machine	144	MACHINE	noun	19
garden	586	GARDEN	noun	19
sit	1416	SIT	verb	19
happy	1495	HAPPY	adjective	19
straight	1404	STRAIGHT	adjective	19
sew	1457	SEW	verb	19
button	757	BUTTON	noun	19
calm	258	CALM	adjective	19
relax	168	REST	verb	19
needle	1382	NEEDLE (FOR SEWING)	noun	19
pin	64	PIN	noun	19
hook	1071	HOOK	noun	19
braid	1043	BRAID	noun	19
rug	292	RUG	noun	19
candy	874	CANDY	noun	19
chair	1476	CHAIR	noun	19
chest	1592	CHEST	noun	19
wax	1931	BEESWAX	noun	19
ball	1845	BALL	noun	19
coin	1867	COIN	noun	19
salt	1274	SALT	noun	19
pepper	1385	PEPPER	noun	19
dog	2009	DOG	noun	19
shell	598	SHELL	noun	19
leaf	628	LEAF	noun	19
color	1613	COLOR	noun	19
flower	239	FLOWER	noun	19
item	2981	ITEM	noun	19
sweet	717	SWEET	adjective	19
luck	720	GOOD LUCK	noun	19
chicken	1318	CHICKEN	noun	19
insect	620	INSECT	noun	19
animal	619	ANIMAL	noun	19
bird	937	BIRD	noun	19
nest	539	NEST	noun	19
hive	88	BEEHIVE	noun	19
visible	1868	VISIBLE	adjective	19
destroy	681	DESTROY	verb	19
lend	582	LEND	verb	19
hasten	754	HURRY	verb	19
heaven	1565	HEAVEN	noun	19
tie	1917	TIE	verb	19
mirror	1171	MIRROR	noun	19
spade	1176	SPADE	noun	19
widow	1756	WIDOW	noun	19
good-looking	2410	GOOD-LOOKING	adjective	19
earn	733	EARN	verb	19
pound	354	POUND	verb	19
danger	1810	DANGER	noun	19
bunch	1966	BUNCH	noun	19
guess	1932	GUESS	verb	19
forehead	123	FOREHEAD	noun	19
tomorrow	1329	TOMORROW	other	19
wish	1784	WANT	verb	19
seize	855	SEIZE	verb	19
cheap	1887	CHEAP	adjective	19
store	752	STORE	noun	19
grab	855	SEIZE	verb	19
