('1501', '1679', 0.9744471907615662)
('1501', '3003', 0.9720472693443298)
('1501', '1484', 0.9741299748420715)
('1501', '1243', 0.9702778458595276)
('1501', '31', 0.9731301665306091)
('1501', '1399', 0.9710183143615723)
('1501', '1530', 0.9728279113769531)
('1501', '480', 0.9714785814285278)
('1501', '924', 0.9747522473335266)
('1501', '862', 0.972155749797821)
('1501', '635', 0.974946141242981)
('1501', '193', 0.9738617539405823)
('2014', '1095', 0.974543035030365)
('2014', '31', 0.970717191696167)
('2014', '1007', 0.9711830019950867)
('2014', '1971', 0.9727609753608704)
('2014', '273', 0.973943293094635)
('2014', '121', 0.9835852384567261)
('2014', '1462', 0.9812899827957153)
('2014', '1530', 0.9742397665977478)
('2014', '1683', 0.9709112048149109)
('2014', '1075', 0.9706478118896484)
('2014', '1781', 0.9718266725540161)
('243', '604', 0.9731511473655701)
('243', '1302', 0.970372200012207)
('243', '1633', 0.9726950526237488)
('243', '1274', 0.9707012176513672)
('243', '31', 0.9701749682426453)
('243', '1971', 0.9714488387107849)
('243', '1793', 0.9704738855361938)
('243', '343', 0.9710139036178589)
('243', '1381', 0.9718838334083557)
('243', '1530', 0.9706465005874634)
('243', '281', 0.972066342830658)
('243', '480', 0.9706047773361206)
('243', '378', 0.9743387699127197)
('243', '635', 0.9834855794906616)
('243', '1245', 0.9704630374908447)
('1423', '1766', 0.9752210378646851)
('1032', '1307', 0.9748378992080688)
('492', '1500', 0.9812461733818054)
('492', '493', 0.9721118807792664)
('1702', '1033', 0.9721386432647705)
('1702', '1683', 0.9785054326057434)
('1702', '1962', 0.9719557166099548)
('1702', '404', 0.9707010388374329)
('891', '926', 0.9765387773513794)
('2308', '604', 0.9760085940361023)
('2308', '857', 0.9708682298660278)
('2308', '1221', 0.9711754322052002)
('2308', '1425', 0.9715723395347595)
('2308', '163', 0.9813902974128723)
('2308', '153', 0.9720590710639954)
('478', '1909', 0.9813957810401917)
('478', '1482', 0.9745019674301147)
('478', '1221', 0.9712321758270264)
('478', '870', 0.9862229824066162)
('478', '1040', 0.9815971255302429)
('1402', '604', 0.9752183556556702)
('1402', '1210', 0.9713401794433594)
('1402', '1393', 0.9776669144630432)
('1402', '857', 0.9701420664787292)
('1402', '1398', 0.9708008766174316)
('1402', '1425', 0.9767532348632812)
('1402', '1424', 0.975074827671051)
('1402', '1394', 0.9739992618560791)
('1402', '153', 0.9729382991790771)
('1402', '1220', 0.9775963425636292)
('1402', '1218', 0.9708324074745178)
('1402', '476', 0.9705408811569214)
('1402', '640', 0.9824714064598083)
('1402', '342', 0.9725561141967773)
('1924', '1002', 0.9860643148422241)
('1924', '688', 0.9714642763137817)
('1286', '1593', 0.9773556590080261)
('1286', '1321', 0.974668025970459)
('221', '1663', 0.9773212671279907)
('221', '1632', 0.9710652232170105)
('221', '1375', 0.9731879830360413)
('221', '1476', 0.9740475416183472)
('1422', '1413', 0.9702035188674927)
('1103', '1823', 0.974193274974823)
('1103', '2900', 0.9716519117355347)
('1500', '493', 0.9747858643531799)
('1500', '1703', 0.9768309593200684)
('1593', '1388', 0.9719312191009521)
('1366', '1646', 0.9761987328529358)
('257', '1364', 0.9749579429626465)
('257', '1010', 0.9746158719062805)
('257', '1768', 0.9781911969184875)
('1747', '2214', 0.9757748246192932)
('1362', '933', 0.9727097153663635)
('1362', '1632', 0.9711150527000427)
('1362', '1375', 0.9826179146766663)
('670', '1679', 0.970153272151947)
('670', '1361', 0.9804507493972778)
('670', '1133', 0.9704803824424744)
('670', '1627', 0.9790546894073486)
('670', '420', 0.9799697995185852)
('670', '1986', 0.9706717729568481)
('670', '1959', 0.9742439985275269)
('670', '1490', 0.973630428314209)
('670', '688', 0.9701679944992065)
('670', '1768', 0.9705430269241333)
('7', '230', 0.9809858798980713)
('7', '930', 0.9707767963409424)
('7', '1220', 0.970262885093689)
('7', '851', 0.9754874110221863)
('1293', '45', 0.9803934097290039)
('604', '1210', 0.9830029010772705)
('604', '1393', 0.9784557819366455)
('604', '1845', 0.9713707566261292)
('604', '857', 0.9870265126228333)
('604', '1803', 0.976693332195282)
('604', '1302', 0.9764316082000732)
('604', '1398', 0.976418137550354)
('604', '1633', 0.9707026481628418)
('604', '746', 0.9717976450920105)
('604', '806', 0.9771729111671448)
('604', '1425', 0.9863825440406799)
('604', '603', 0.9820380210876465)
('604', '1244', 0.9745948314666748)
('604', '1388', 0.9810844659805298)
('604', '760', 0.9717423915863037)
('604', '1394', 0.9703968167304993)
('604', '153', 0.9719887971878052)
('604', '25', 0.9785022735595703)
('604', '1343', 0.9703229069709778)
('604', '365', 0.9701322913169861)
('604', '1220', 0.9722946286201477)
('604', '1267', 0.9711189270019531)
('604', '1793', 0.9770983457565308)
('604', '1218', 0.9720000624656677)
('604', '889', 0.9707915782928467)
('604', '476', 0.9779834151268005)
('604', '763', 0.9737837314605713)
('604', '2253', 0.9727473258972168)
('604', '343', 0.9715415835380554)
('604', '1462', 0.9711246490478516)
('604', '1600', 0.9731428623199463)
('604', '281', 0.982623279094696)
('604', '2876', 0.9747902750968933)
('604', '640', 0.9730129837989807)
('604', '2007', 0.9706453084945679)
('604', '1316', 0.9707947969436646)
('1877', '1598', 0.9732031226158142)
('1877', '420', 0.9736117124557495)
('1877', '1525', 0.9734776616096497)
('1877', '1561', 0.9816869497299194)
('1595', '1598', 0.9839540719985962)
('1487', '980', 0.97389817237854)
('2948', '1633', 0.9758450984954834)
('2948', '1369', 0.978154718875885)
('2948', '31', 0.9707991480827332)
('2948', '624', 0.9727253913879395)
('2948', '1849', 0.973896324634552)
('2948', '1662', 0.9773597717285156)
('2948', '2334', 0.9713216423988342)
('2948', '480', 0.9742470979690552)
('2948', '862', 0.9756482243537903)
('2948', '820', 0.9737042188644409)
('962', '1646', 0.9704187512397766)
('1210', '1803', 0.9863412380218506)
('1210', '1302', 0.9798510074615479)
('1210', '1398', 0.9778794050216675)
('1210', '746', 0.9800980687141418)
('1210', '1425', 0.9880754947662354)
('1210', '757', 0.9750410318374634)
('1210', '1388', 0.970046877861023)
('1210', '362', 0.9757620096206665)
('1210', '1616', 0.9773369431495667)
('1210', '25', 0.9753192067146301)
('1210', '1220', 0.9709171056747437)
