Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
begin	3447	BEGIN OR START	verb	19
peace	1338	PEACE	noun	19
base	831	BASE	noun	19
slice	2954	SLICE	noun	19
everything	98	ALL	other	19
build	1840	BUILD	verb	19
library	2428	LIBRARY	noun	19
center	491	CENTER	noun	19
desire	2960	LONGING (WISH)	noun	19
fill	2006	FILL	verb	19
lack	2329	LACK (NOT HAVE)	verb	19
feel	1079	FEEL	verb	19
my	2090	MY	other	19
conceive	1087	CONCEIVE	verb	19
set	160	SET (HEAVENLY BODIES)	verb	19
above	1741	ABOVE	other	19
order	1128	ORDER	verb	19
avoid	3639	AVOID	verb	19
instead	1652	INSTEAD	other	19
horn	1393	HORN (ANATOMY)	noun	19
type	3134	TYPE (ON SOMETHING)	verb	19
relative	1644	RELATIVES	noun	19
toward	2754	TOWARDS	other	19
recognize	2870	RECOGNIZE (SOMEBODY)	verb	19
meaning	2950	MEANING	noun	19
basis	831	BASE	noun	19
felt	325	FELT	noun	19
sometimes	1544	SOMETIMES	other	19
burden	1679	LOAD	noun	19
year	1226	YEAR	noun	19
amount	2987	AMOUNT	noun	19
suffice	3475	SUFFICE	other	19
ignore	41	IGNORE	verb	19
change	1264	CHANGE	verb	19
spread	38	SPREAD OUT	verb	19
divide	1119	DIVIDE	verb	19
cover	761	COVER	verb	19
already	2576	ALREADY	other	19
early	672	EARLY	adjective	19
familiar	3005	FAMILIAR	adjective	19
joint	999	JOINT	noun	19
measure	1506	MEASURE	verb	19
operate	3121	OPERATE (MEDICINE)	verb	19
perhaps	2278	PERHAPS	verb	19
frequently	1852	OFTEN	other	19
plant	653	PLANT (VEGETATION)	noun	19
net	2963	NET	noun	19
high	1265	HIGH	adjective	19
company	2983	COMPANIONSHIP	noun	19
simple	686	EASY	adjective	19
bill	1081	BILL	noun	19
month	1370	MONTH	noun	19
present	2982	GIFT	noun	19
small	1246	SMALL	adjective	19
electricity	59	ELECTRICITY	noun	19
benefit	2929	BENEFIT	noun	19
equal	1570	EQUAL	adjective	19
poetry	541	POETRY	noun	19
marriage	2432	MARRIAGE	noun	19
bed	1663	BED	noun	19
joy	2524	JOY	noun	19
husband	1200	HUSBAND	noun	19
wife	1199	WIFE	noun	19
sign	1720	SIGN	noun	19
tailor	881	TAILOR	noun	19
theirs	2400	THEIR	other	19
certain	509	CERTAIN	adjective	19
meek	1954	GENTLE	adjective	19
tiger	846	TIGER	noun	19
vacuum	3135	VACUUM (SOMETHING)	verb	19
plan	3630	PLAN	noun	19
release	1095	LET GO OR SET FREE	verb	19
area	2980	AREA	noun	19
produce	2886	PRODUCE	verb	19
agree	3643	AGREE	verb	19
sex	2562	SEX (GENDER)	noun	19
dangerous	3466	DANGEROUS	adjective	19
cheat	3055	SWINDLE	verb	19
sap	345	SAP	noun	19
rob	2073	ROB (VERB)	verb	19
affair	2214	AFFAIR	noun	19
well	954	WELL	noun	19
open	1156	OPEN	verb	19
health	1364	HEALTHY	adjective	19
buy	1869	BUY	verb	19
win	866	WIN	verb	19
last	1529	LAST (FINAL)	other	19
prison	1281	PRISON	noun	19
divorce	1134	DIVORCE	noun	19
island	622	ISLAND	noun	19
complain	3642	COMPLAIN	verb	19
tired	1757	TIRED	adjective	19
please	1271	DELIGHT	verb	19
cook	1100	COOK (SOMETHING)	verb	19
wash	1453	WASH	verb	19
dish	481	DISH	noun	19
bath	138	BATHE	verb	19
card	2619	CARD	noun	19
party	131	FESTIVAL	noun	19
money	1559	MONEY	noun	19
smart	2530	SMART	noun	19
whip	2630	WHIP	noun	19
girl	1646	GIRL	noun	19
urge	2881	URGE (SOMEONE)	verb	19
man	1554	MAN	noun	19
don't	813	DO	verb	19
rock	668	ROCK	noun	19
boat	1844	BOAT	noun	19
blame	381	BLAME	noun	19
pay	718	PAY	verb	19
pattern	2988	PATTERN	noun	19
tremble	52	SHIVER	verb	19
night	1233	NIGHT	noun	19
figure	1945	IDOL	noun	19
suddenly	2920	SUDDENLY	other	19
master	383	MASTER	noun	19
bedroom	2505	BEDROOM	noun	19
male	1553	MALE	adjective	19
depend	756	DEPEND	verb	19
strength	202	STRENGTH	noun	19
ability	2527	ABILITY	noun	19
late	477	LATE	other	19
sphere	1845	BALL	noun	19
period	508	PERIOD	noun	19
others	2422	SOMEONE	other	19
marketplace	633	MARKET	noun	19
female	1551	FEMALE	adjective	19
sway	573	SWAY	verb	19
darkness	11	DARKNESS	noun	19
fix	3074	FIX	verb	19
car	1111	CAR	noun	19
choose	1750	CHOOSE	verb	19
despise	2715	DESPISE	verb	19
knuckle	2824	KNUCKLE	noun	19
disgust	2465	DISGUST	noun	19
weak	1601	WEAK	adjective	19
strong	785	STRONG	adjective	19
emotional	3761	EMOTIONAL	adjective	19
butt	834	BUTTOCKS	noun	19
stone	857	STONE	noun	19
wall	933	WALL (OF HOUSE)	noun	19
sweep	230	SWEEP	verb	19
creep	3215	CREEP	verb	19
court	1068	COURT	noun	19
flatter	2709	FLATTER	verb	19
lift	501	LIFT	verb	19
agreement	3644	AGREEMENT	noun	19
approach	1778	APPROACH	verb	19
shake	1909	SHAKE	verb	19
cure	499	CURE	verb	19
step	1158	STEP	noun	19
play	1413	PLAY	verb	19
eight	1705	EIGHT	numeral	19
nine	1483	NINE	numeral	19
wait	1590	WAIT (FOR)	verb	19
try	1812	TRY	verb	19
desk	1775	TABLE	noun	19
telephone	1379	TELEPHONE	noun	19
pen	794	PEN	noun	19
check	1975	CHECK	verb	19
hear	1408	HEAR	verb	19
subtle	2232	KEEN OR SUBTLE	adjective	19
air	27	AIR	noun	19
fly	1441	FLY (MOVE THROUGH AIR)	verb	19
twist	430	TWIST	verb	19
weight	2466	WEIGHT	noun	19
strike	353	STRIKE	verb	19
tumble	2894	TUMBLE (FALL DOWN)	verb	19
wrench	1361	TOOL	noun	19
manage	3073	MANAGE	verb	19
shoulder	1482	SHOULDER	noun	19
floor	1632	FLOOR	noun	19
saw	1948	SAW	noun	19
tall	711	TALL	adjective	19
razor	151	RAZOR	noun	19
empty	1624	EMPTY	adjective	19
pocket	1851	POCKET	noun	19
weapon	951	WEAPONS	noun	19
foot	1301	FOOT	noun	19
direction	3427	DIRECTION	noun	19
attack	722	ATTACK	noun	19
rise	568	RISE (MOVE UPWARDS)	verb	19
